"Name","ShortDescription","DocumentType","LocationOrPath","Justification","AvailabilityFlag","ProvenanceTag","PriorityScore","PriorityRationale","SuggestedIngestionFormat","EstimatedSizeMB","AccessNotes"
"Acetone SDS – Michigan EGLE copy","Acetone SDS from a state agency repository.","SDS","https://www.michigan.gov/-/media/Project/Websites/egle/Documents/Programs/RRD/Lab/Material-Data-Safety-Sheets-Acetone.pdf?rev=0d4a6bca78114d05a29ba3b4e0b97f46","Redundant authoritative SDS copy; good for availability resilience.","Available/Open","Government","1","Redundant; optional.","PDF","1","Deduplicate; use as fallback."
"Isopropyl Alcohol MSDS – University of Florida copy","MSDS for isopropyl alcohol solutions.","SDS","https://nrf.aux.eng.ufl.edu/_files/msds/2/Isopropyl%20Alcohol.pdf","IPA often used for cleaning substrates and tools; SDS informs PPE and flammability controls.","Available/Open","Practitioner","3","Common cleaning solvent hazard.","PDF","1","Prefer on-site supplier SDS; keep as reference."
"Isopropyl Alcohol SDS – Fisher Scientific (example)","SDS for IPA (Fisher)","SDS","https://www.fishersci.com/store/msds?countryCode=US&language=en&partNumber=22110883&productDescription=HIPUR+ISOPRPYL+ALCOHL+1GL+4%2FCS&vendorId=VN00008297","Supplier-specific SDS variant; useful to match local purchasing.","Available/Open","OfficialVendor","2","Supplier match improves fidelity.","PDF","1","If your IPA is from Fisher, use this; otherwise store exact supplier SDS."
"Nitrogen compressed gas SDS – Airgas","SDS for nitrogen compressed gas.","SDS","https://www.airgas.com/msds/001040.pdf","AJP systems often use nitrogen as carrier/sheath; SDS informs cylinder safety and asphyxiation hazards.","Available/Open","OfficialVendor","4","Direct link to AJP gas hazards.","PDF","1","Ingest; link to cylinder handling SOP."
"Nitrogen gas MSDS – Texas A&M copy","Nitrogen MSDS PDF stored at a university site.","SDS","https://mcf.tamu.edu/wp-content/uploads/2016/07/NITROGEN.pdf","Redundant nitrogen safety reference for availability resilience.","Available/Open","Practitioner","1","Redundant; optional.","PDF","1","Deduplicate; keep as fallback."
"Boise State University Optomec AJP SOP","Standard Operating Procedure for Optomec AJP setup and hazards.","SOP","https://www.boisestate.edu/coen-imfl/wp-content/uploads/sites/690/2020/04/AJP-SOP_ver1.0_Final.pdf","Practical stepwise SOP adds novice-friendly sequencing and hazard checklist.","Available/Open","Practitioner","4","High operational density; good for tacit cues.","PDF","5","Treat as practitioner; validate against your configuration."
"Stanford SNF Optomec manual (nano@stanford fellowship)","Detailed community manual including cleaning, shutter, and components.","SOP","https://snfguide.stanford.edu/files/sections/diplayfiles/final_copy_of_optomec_manual_0.pdf","Rich practitioner manual with maintenance/cleaning detail supporting clog scenarios.","Available/Open","Practitioner","4","High-value tacit maintenance content.","PDF","15","Ingest PDF; tag cleaning steps and component diagrams."
"SMTA/CircuitInsight paper: Aerosol Jet Printing of Electronics (PDF)","Conference-style overview including clogging/shutter notes and substrates.","peer-reviewed paper","https://www.circuitinsight.com/pdf/aerosol_jet_printing_electronics_smta.pdf","Practical AJP overview with failure-relevant notes (clogging, shutter).","Available/Open","PeerReviewed","3","Practical paper with operational hints.","PDF","3","Ingest PDF; extract adjectives users use for defects."
"Wilkinson et al. review: A review of aerosol jet printing (open PDF)","Comprehensive AJP review: parameters, materials, defects, and limits.","peer-reviewed paper","https://eprints.whiterose.ac.uk/id/eprint/146144/7/Wilkinson2019_Article_AReviewOfAerosolJetPrintingANo.pdf","Best synthesis for parameter-to-defect taxonomy and print physics.","Available/Open","PeerReviewed","5","Foundational for failure discrimination taxonomy.","PDF","15","Ingest PDF; map parameter interactions to Symptom/FailureMode nodes."
"Nature Communications 2024 (PMC): annular acoustic focusing for AJP","Open full-text article focused on overspray reduction/stability.","peer-reviewed paper","https://pmc.ncbi.nlm.nih.gov/articles/PMC11282100/","Directly relevant to overspray/short-risk and stability scenarios.","Available/Open","PeerReviewed","4","Modern overspray mitigation evidence.","text","2","Ingest HTML text; capture supplementary if available."
"Data in Brief 2020 (PMC): conductivity and RF performance dataset for AJP silver inks","Open full-text data article and dataset description.","dataset","https://pmc.ncbi.nlm.nih.gov/articles/PMC7560714/","Provides quantitative targets and variability for conductivity/processing verification.","Available/Open","PeerReviewed","4","Directly supports verification metrics.","text","2","Ingest HTML + any downloadable tables; normalize units."
"Aerosol Jet Printing of silver lines with high aspect ratio (PMC, 2020)","Study on silver line formation with varying layers and heating.","peer-reviewed paper","https://pmc.ncbi.nlm.nih.gov/articles/PMC7040915/","Useful for stack/pass count effects and line geometry considerations.","Available/Open","PeerReviewed","3","Useful for pass-count + thermal interactions.","text","2","Ingest HTML; extract key figures captions."
"Scientific Reports 2021 (PMC): Highly conductive electronics circuits from AJP silver ink","Open full-text paper on improving printability and conductivity of Ag inks.","peer-reviewed paper","https://pmc.ncbi.nlm.nih.gov/articles/PMC8437949/","Supports conductivity improvement strategies and ink formulation impacts.","Available/Open","PeerReviewed","3","Supports understanding of conductivity outcomes.","text","2","Ingest HTML text; capture methods section for parameters."
"NASA NTRS: Design of Experiment for measurement of AJP parameters (PDF)","NASA technical memo applying DOE to AJP parameter measurement.","peer-reviewed paper","https://ntrs.nasa.gov/api/citations/20190027378/downloads/20190027378.pdf","Provides a DOE template for internal process-window characterization.","Available/Open","Government","3","Methodology reference for quantitative datasets.","PDF","3","Ingest PDF; map DOE factors to parameters."
"RIT dissertation: Numerical and Experimental Investigation of Aerosol Jet Printing (PDF)","Dissertation on modeling and experiments impacting quality and stability.","peer-reviewed paper","https://repository.rit.edu/context/theses/article/12286/viewcontent/SRameshDissertation4_2022.pdf","Deep coverage of process physics and stability; supports explainable troubleshooting.","Available/Open","PeerReviewed","3","High detail for advanced troubleshooting.","PDF","25","Ingest PDF; extract chapters on plume, clogging, flow ratios."
"Purdue thesis 2025: Optimizing aerosol jet printing for SAW devices (PDF)","Graduate thesis on print optimization and repeatability.","peer-reviewed paper","https://hammer.purdue.edu/ndownloader/files/54122231","Practical optimization and repeatability insights applicable to process tuning.","Available/Open","PeerReviewed","3","Applied optimization reference.","PDF","20","Ingest PDF; extract recommended experiment patterns."
"Wright State thesis 2024: Mechanical Reliability of Aerosol Jet Printed Sensors and traces (PDF)","Dissertation focusing on reliability of AJP printed structures.","peer-reviewed paper","https://corescholar.libraries.wright.edu/cgi/viewcontent.cgi?article=4059&context=etd_all","Supports durability and reliability considerations in repaired traces.","Available/Open","PeerReviewed","2","Supports reliability framing; secondary to operation.","PDF","15","Ingest PDF; extract reliability test methods and failure modes."
"INL report 2023: Aerosol jet printing of piezoelectric SAW devices (PDF)","Report with process description and application context.","peer-reviewed paper","https://inldigitallibrary.inl.gov/sites/STI/STI/Sort_61274.pdf","Contains parameter descriptions and process narrative; useful for language coverage.","Available/Open","Government","2","Application-specific, but open technical narrative.","PDF","5","Ingest PDF; tag AJP parameter descriptions."
"IPC-7711/7721C Table of Contents (TOC) PDF","TOC/preview content for IPC rework/repair standard (scoping).","standard","https://www.electronics.org/TOC/IPC-TOC-7711-21C.pdf","Provides standardized terminology and procedure taxonomy for repair context.","Available/Open","Government","4","Critical repair taxonomy; open scoping.","PDF","2","Use for scoping; obtain full standard via licensing (Sheet B)."
"NanoAmor Silver Nanoparticle Ink MSDS","Safety Data Sheet for Ag NP ink — exposure limits, first-aid, disposal procedures for HAZARD-NANOPARTICLE-001.","SDS","https://www.nanoamor.com/i/u/300402/h/MSDS/msds_Ag_NP.pdf","Closes GAP-014: regulatory requirement before any operator handles Ag NP ink. Required by HAZARD-NANOPARTICLE-001 and ACTION-INCIDENT-REPORT-001.","Available/Open","Manufacturer","1","BLOCKING gap — must close before live deployment.","PDF","0.5","SDS from NanoAmor; verify matches specific ink lot in use. Resolves GAP-014."
